name,gender,swimmer_id,team_id
Katherine O'Shea,F,167013,184
Allison Morel,F,195456,141
Nicole Shek,F,197178,141
Courtney Ferreira,F,213253,141
Mary Weinstein,F,214963,184
Megan Barpoulis,F,221480,184
Julie Byrne,F,228451,184
Lindsay Smalec,F,233487,184
Maura Mcmanus,F,233650,184
Anna Francisco,F,233796,141
Payton Miles,F,233836,141
Abigail Rosenberg,F,235482,184
Maggie Wyngowski,F,255871,184
Kathryn Bergin,F,256012,141
Brooke Collins,F,256775,184
Abigail Merriman,F,260001,184
Stephanie Boyd,F,265562,184
Emma Hadley,F,270043,184
Marissa Wagner,F,271442,141
Melissa Segovia,F,271492,141
Malia Wolf,F,273646,141
Loeva Palu-benson,F,273907,141
Grace Rogowski,F,282290,141
Autumn Shaffer,F,291023,141
Evie Gieseman,F,323285,141
Megan Fennell,F,325324,141
Maddie Hartigan,F,329465,184
Samantha Gallego,F,330114,141
Emily Gorham,F,330237,184
Amanda Lauer,F,330324,184
Sarah Horne,F,330349,141
Tori Connolly,F,342505,141
Rachel Hazard,F,342607,184
Megan Koczur,F,342611,184
Amanda Zlotnikoff,F,342630,141
Olivia Giampietro,F,342918,141
Isabella Smith,F,344005,184
Annie Norris,F,345696,141
Lindsey Bloom,F,347298,184
Meagan Hathaway,F,356813,184
Maya Carragher,F,377792,141
Meghan Taner,F,382148,184
Alexis Lexi Faria,F,395502,184
Kelly Cattano,F,402879,184
Caroline Mayk,F,403012,184
Annie Wixted,F,403859,141
Carly Rutledge,F,404163,141
Liz Olszewski,F,405026,141
Michaela Peil,F,409578,184
Siqi Qin,F,411706,141
Jessica Guglielmo,F,422229,141
Rayna Smilowitz,F,426744,141
Anna Thomas,F,432465,141
Paige Schoelkopf,F,489276,184
Ann Foley,F,494957,141
Courtney Wolfgang,F,586800,184
Alaina Schumann,F,693090,184
Sydney Dougherty,F,696579,141
Vita Shabalow,F,839548,184
Jessica Hurlburt,F,954945,184
